candidate,engineered,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std,mcc_mean,mcc_std,brier_mean,brier_std
LogisticRegression__engineered,True,0.6014146166154342,0.042414479397592506,0.826280716772482,0.029396620412018216,0.7369045874486223,0.02952852075870742,0.363446249718032,0.02914581209192323,0.7160460992907802,0.048443207770082465,0.4817458360583157,0.03413769238937605,0.5991796211818854,0.03983830214939931,0.37457561195841493,0.047644338857013066,0.15922930050602027,0.0114068968604258
LogisticRegression__raw,False,0.5864656038219319,0.05199057126103624,0.8237806531595623,0.030609406250580704,0.7427136594563464,0.029221921422162518,0.3683163622085543,0.029185862095661534,0.7257683215130023,0.049983195819232266,0.4882216513226168,0.03424362302278773,0.607265133795178,0.04032496544013639,0.38374800624211064,0.047185008317927206,0.16109475998202114,0.011830354864778547
RandomForestOneHot__raw,False,0.5419959131187448,0.05620745654160009,0.8077849218782768,0.0357092546610632,0.6718773322305539,0.026889825226869477,0.5989869471795051,0.09602177583598537,0.39674940898345146,0.04955202368148869,0.47464636263500404,0.05448646337254622,0.42428538594461107,0.05005797902280091,0.4093977183677397,0.06839885404141702,0.11445458805744521,0.007588482983370863
HistGradientBoosting__engineered,True,0.5396905572448684,0.055618116181412235,0.7999031371713206,0.029208138250908403,0.6537360670197709,0.034390150894842854,0.5967756670588602,0.08852769810761181,0.3545212765957446,0.0678492145844176,0.4415528676972569,0.06884351656687253,0.3844824770491188,0.06812783641703705,0.3836422204382973,0.07560160837361316,0.11553419755757513,0.013037100356271085
RandomForestOneHot__engineered,True,0.5366637303347925,0.05248202756222667,0.8009633359642235,0.03246934026512292,0.6661488881395404,0.02915582716687899,0.6033772971268881,0.09597848565928288,0.38259456264775416,0.0565824347512779,0.4648788510966169,0.05715308019004086,0.4113527676159536,0.05600421895349375,0.4031927944588278,0.06858046601255757,0.11600815066767448,0.006968878783832513
HistGradientBoosting__raw,False,0.5363499112768243,0.0526629463083215,0.7995821273140805,0.029958190098449265,0.6692737400498304,0.03354947118847322,0.6048185111008659,0.08795754294161615,0.3882978723404255,0.06424746780373937,0.47039949583167906,0.06529465906344327,0.41711359405811754,0.06420046232932015,0.40835176026513104,0.07460093616251968,0.11527664818759602,0.011604551063495805
RandomForestOrdinal__raw,False,0.5236066167825408,0.04968110808191624,0.8008329965933821,0.03390767729477244,0.6467013243276114,0.024986051009760514,0.5896643989964737,0.08096306968107522,0.3404550827423168,0.05011426536783972,0.42876088779468496,0.050297712118383894,0.37070334913350783,0.04985795021555204,0.3711342911551802,0.058166696053988075,0.11731062232300325,0.00659641594155255
RandomForestOrdinal__engineered,True,0.5173639363596245,0.05415629697679434,0.7958618390218846,0.03636076213756612,0.6461888697349802,0.026292359434658796,0.5861907970844834,0.08662003427042247,0.34051418439716313,0.051687058189711525,0.4275296626099427,0.05348856666537361,0.37032205286135866,0.05179738624210599,0.36898458548202556,0.06303454872882482,0.11849538926681784,0.006714762112442876
